datetime;loading_MW;unloading_MW;YearlyEfc_counter;efc_per_timestep;curren state of health;intraday_price_EUR_per_MWh
01.06.2027 00:00;0;0;0;0;1;1.110.158.789
01.06.2027 00:15;0;0;0;0;1;1.187.973.777
01.06.2027 00:30;0;0;0;0;1;1.140.231.855
01.06.2027 00:45;0;0;0;0;1;1.255.828.362
01.06.2027 01:00;0;0;0;0;1;1.191.789.056
01.06.2027 01:15;0;0;0;0;1;1.202.729.032
01.06.2027 01:30;0;254;0.066938;0.066938;1;1.267.651.003
01.06.2027 01:45;0;0;0.066938;0;1;1.027.778.603
01.06.2027 02:00;0;0;0.066938;0;1;1.105.179.798
01.06.2027 02:15;0;0;0.066938;0;1;1.191.669.216
01.06.2027 02:30;249;0;0.124145;0.057208;1;602.017.181
01.06.2027 02:45;42.351.227;0;0.133876;0.00973;1;7.805.921.827
01.06.2027 03:00;249;0;0.191083;0.057208;1;5.987.789.757
01.06.2027 03:15;249;0;0.248291;0.057208;1;3.005.165.566
01.06.2027 03:30;0;0;0.248291;0;1;1.293.191.825
01.06.2027 03:45;0;0;0.248291;0;1;1.239.659.229
01.06.2027 04:00;0;0;0.248291;0;1;8.551.292.103
01.06.2027 04:15;0;0;0.248291;0;1;1.087.376.122
01.06.2027 04:30;0;0;0.248291;0;1;1.157.229.148
01.06.2027 04:45;0;0;0.248291;0;1;1.182.470.372
01.06.2027 05:00;0;0;0.248291;0;1;9.777.982.149
01.06.2027 05:15;0;0;0.248291;0;1;8.102.211.501
01.06.2027 05:30;0;72.633.572;0.267432;0.019141;1;1.294.158.609
01.06.2027 05:45;0;0;0.267432;0;1;1.269.470.491
01.06.2027 06:00;0;0;0.267432;0;1;1.092.739.061
01.06.2027 06:15;0;254;0.33437;0.066938;1;1.425.968.381
01.06.2027 06:30;0;254;0.401308;0.066938;1;139.051.659
01.06.2027 06:45;0;254;0.468246;0.066938;1;1.332.775.779
01.06.2027 07:00;0;0;0.468246;0;1;11.067.187
01.06.2027 07:15;0;0;0.468246;0;1;1.193.096.921
01.06.2027 07:30;0;0;0.468246;0;1;1.202.681.787
01.06.2027 07:45;0;0;0.468246;0;1;9.452.790.381
01.06.2027 08:00;0;0;0.468246;0;1;1.161.770.379
01.06.2027 08:15;0;0;0.468246;0;1;117.284.287
01.06.2027 08:30;0;0;0.468246;0;1;1.105.205.955
01.06.2027 08:45;0;0;0.468246;0;1;1.060.002.214
01.06.2027 08:45;0;0;0.468246;0;1;1.060.002.214
01.06.2027 09:15;0;0;0.468246;0;1;1.019.226.316
01.06.2027 09:30;0;0;0.468246;0;1;942.541.509
01.06.2027 09:45;0;0;0.468246;0;1;1.237.325.813
01.06.2027 10:00;0;254;0.535184;0.066938;1;1.387.944.647
01.06.2027 10:15;0;0;0.535184;0;1;1.043.556.528
01.06.2027 10:30;0;0;0.535184;0;1;8.295.285.832
01.06.2027 10:45;0;0;0.535184;0;1;97.148.716
01.06.2027 11:00;0;0;0.535184;0;1;7.559.831.133
01.06.2027 11:15;249;0;0.592391;0.057208;1;5.379.211.817
01.06.2027 11:30;249;0;0.649599;0.057208;1;5.499.942.185
01.06.2027 11:45;0;0;0.649599;0;1;7.988.061.943
01.06.2027 12:00;0;0;0.649599;0;1;7.572.967.401
01.06.2027 12:15;249;0;0.706807;0.057208;1;6.921.483.414
01.06.2027 12:30;0;0;0.706807;0;1;1.227.391.799
01.06.2027 12:45;237.791.933;0;0.761439;0.054633;1;725.354.522
01.06.2027 13:00;0;254;0.828377;0.066938;1;14.710.857
01.06.2027 13:15;0;0;0.828377;0;1;9.095.078.283
01.06.2027 13:30;0;0;0.828377;0;1;1.090.076.432
01.06.2027 13:45;0;0;0.828377;0;1;8.110.241.909
01.06.2027 14:00;0;0;0.828377;0;1;1.006.114.362
01.06.2027 14:15;0;0;0.828377;0;1;1.076.155.444
01.06.2027 14:30;249;0;0.885585;0.057208;1;-1.147.461.065
01.06.2027 14:45;249;0;0.942792;0.057208;1;3.594.234.996
01.06.2027 15:00;249;0;1;0.057208;1;-3.623.362.942
01.06.2027 15:15;249;0;1.057.208;0.057208;1;1.617.769.415
01.06.2027 15:30;0;0;1.057.208;0;1;7.414.086.545
01.06.2027 15:45;0;0;1.057.208;0;1;820.603.411
01.06.2027 16:00;0;0;1.057.208;0;1;1.318.849.031
01.06.2027 16:15;0;0;1.057.208;0;1;115.371.462
01.06.2027 16:30;0;0;1.057.208;0;1;1.017.830.646
01.06.2027 16:45;0;0;1.057.208;0;1;8.956.197.972
01.06.2027 17:00;0;23.004.849;1.117.833;0.060626;1;1.484.672.519
01.06.2027 17:15;0;254;1.184.771;0.066938;1;1.620.665.156
01.06.2027 17:30;0;0;1.184.771;0;1;9.485.988.265
01.06.2027 17:45;0;0;1.184.771;0;1;1.418.495.689
01.06.2027 18:00;0;0;1.184.771;0;1;1.126.125.116
01.06.2027 18:15;0;0;1.184.771;0;1;1.034.195.439
01.06.2027 18:30;0;0;1.184.771;0;1;1.337.759.495
01.06.2027 18:45;0;0;1.184.771;0;1;1.228.398.912
01.06.2027 19:00;0;0;1.184.771;0;1;1.153.350.492
01.06.2027 19:15;0;0;1.184.771;0;1;1.010.822.562
01.06.2027 19:30;0;0;1.184.771;0;1;1.383.311.232
01.06.2027 19:45;0;0;1.184.771;0;1;1.224.635.487
01.06.2027 20:00;0;254;1.251.709;0.066938;1;1.707.764.373
01.06.2027 20:15;0;0;1.251.709;0;1;1.475.554.336
01.06.2027 20:30;0;254;1.318.647;0.066938;1;1.497.577.174
01.06.2027 20:45;0;254;1.385.585;0.066938;1;1.485.224.473
01.06.2027 21:00;0;0;1.385.585;0;1;1.435.246.735
01.06.2027 21:15;0;0;1.385.585;0;1;1.330.604.838
01.06.2027 21:30;249;0;1.442.792;0.057208;1;3.927.548.204
01.06.2027 21:45;0;0;1.442.792;0;1;1.136.992.843
01.06.2027 22:00;0;0;1.442.792;0;1;1.049.959.422
01.06.2027 22:15;0;0;1.442.792;0;1;7.605.228.461
01.06.2027 22:30;0;0;1.442.792;0;1;7.766.215.729
01.06.2027 22:45;0;0;1.442.792;0;1;9.904.476.342
01.06.2027 23:00;249;0;01. Mai;0.057208;1;5.518.395.185
01.06.2027 23:15;0;0;01. Mai;0;1;7.769.855.858
01.06.2027 23:30;0;0;01. Mai;0;1;1.131.409.468
01.06.2027 23:45;0;0;01. Mai;0;1;6.758.780.365
02.06.2027 00:00;0;0;01. Mai;0;1;1.398.609.223
02.06.2027 00:15;0;0;01. Mai;0;1;120.214.827
02.06.2027 00:30;0;0;01. Mai;0;1;1.076.914.237
02.06.2027 00:45;0;0;01. Mai;0;1;7.389.101.133
02.06.2027 01:00;0;0;01. Mai;0;1;9.289.322.202
02.06.2027 01:15;0;0;01. Mai;0;1;1.003.421.427
02.06.2027 01:30;0;0;01. Mai;0;1;1.467.851.182
02.06.2027 01:45;0;0;01. Mai;0;1;1.545.131.616
02.06.2027 02:00;0;254;1.566.938;0.066938;1;1.892.486.803
02.06.2027 02:15;0;0;1.566.938;0;1;1.234.468.099
02.06.2027 02:30;0;0;1.566.938;0;1;1.399.845.645
02.06.2027 02:45;0;254;1.633.876;0.066938;1;1.540.046.497
02.06.2027 03:00;0;0;1.633.876;0;1;1.343.122.319
02.06.2027 03:15;0;0;1.633.876;0;1;1.392.133.273
02.06.2027 03:30;0;19.312.669;1.684.771;0.050896;1;1.514.725.765
02.06.2027 03:45;0;0;1.684.771;0;1;1.339.973.071
02.06.2027 04:00;0;0;1.684.771;0;1;126.038.342
02.06.2027 04:15;0;0;1.684.771;0;1;1.001.965.952
02.06.2027 04:30;0;0;1.684.771;0;1;133.443.625
02.06.2027 04:45;0;0;1.684.771;0;1;9.923.931.846
02.06.2027 05:00;0;0;1.684.771;0;1;1.182.887.506
02.06.2027 05:15;0;0;1.684.771;0;1;9.668.097.268
02.06.2027 05:30;0;0;1.684.771;0;1;1.398.810.876
02.06.2027 05:45;0;0;1.684.771;0;1;1.381.712.986
02.06.2027 06:00;0;0;1.684.771;0;1;1.482.800.025
02.06.2027 06:15;0;254;1.751.709;0.066938;1;2.096.748.855
02.06.2027 06:30;0;0;1.751.709;0;1;1.495.363.597
02.06.2027 06:45;0;0;1.751.709;0;1;1.276.459.216
02.06.2027 07:00;0;0;1.751.709;0;1;9.118.791.551
02.06.2027 07:15;249;0;1.808.917;0.057208;1;1.733.858.302
02.06.2027 07:30;0;0;1.808.917;0;1;5.431.289.053
02.06.2027 07:45;0;0;1.808.917;0;1;5.308.008.636
02.06.2027 08:00;0;0;1.808.917;0;1;7.195.760.621
02.06.2027 08:15;195.490.574;0;1.853.831;0.044914;1;2.640.204.323
02.06.2027 08:30;0;0;1.853.831;0;1;5.805.250.944
02.06.2027 08:45;0;0;1.853.831;0;1;8.224.468.672
02.06.2027 09:00;249;0;1.911.038;0.057208;1;-1.520.926.314
02.06.2027 09:15;0;0;1.911.038;0;1;390.528.223
02.06.2027 09:30;0;0;1.911.038;0;1;3.152.337.858
02.06.2027 09:45;249;0;1.968.246;0.057208;1;2.362.866.596
02.06.2027 10:00;0;0;1.968.246;0;1;6.496.458.314
02.06.2027 10:15;0;254;2.035.184;0.066938;1;1.731.915.517
02.06.2027 10:30;0;0;2.035.184;0;1;102.381.145
02.06.2027 10:45;0;0;2.035.184;0;1;1.146.661.597
02.06.2027 11:00;0;0;2.035.184;0;1;744.870.983
02.06.2027 11:15;0;0;2.035.184;0;1;4.193.383.631
02.06.2027 11:30;0;0;2.035.184;0;1;7.180.236.779
02.06.2027 11:45;0;0;2.035.184;0;1;8.326.710.319
02.06.2027 12:00;0;0;2.035.184;0;1;762.913.186
02.06.2027 12:15;0;0;2.035.184;0;1;853.656.796
02.06.2027 12:30;0;0;2.035.184;0;1;4.368.705.563
02.06.2027 12:45;0;0;2.035.184;0;1;5.751.593.899
02.06.2027 13:00;249;0;2.092.391;0.057208;1;-7.859.947.609
02.06.2027 13:15;249;0;2.149.599;0.057208;1;3.039.849.922
02.06.2027 13:30;249;0;2.206.807;0.057208;1;9.526.564.352
02.06.2027 13:45;249;0;2.264.014;0.057208;1;2.652.293.146
